id,resultText,highestOption,userId,createdAt
1,Result for user d63adc8d based on option 3,3,d63adc8d-a5f7-47f9-8817-553fdc1e6a45,2025-03-24 13:04:21.524966
2,Result for user 50c9e49a based on option 8,8,50c9e49a-7aff-4bb2-a4af-c5189e418b4f,2025-04-01 13:04:21.525021
3,Result for user 379bdf8f based on option 8,8,379bdf8f-846d-4bc8-9a6f-edf47957a4b5,2025-03-18 13:04:21.525063
4,Result for user 8992c1e3 based on option 9,9,8992c1e3-dcdd-4a27-88d0-7a919114d2b1,2025-03-29 13:04:21.525105
5,Result for user a1687a97 based on option 5,5,a1687a97-6b51-48c7-8aee-d3a23131ae8c,2025-04-03 13:04:21.525142
6,Result for user e650adfe based on option 1,1,e650adfe-b9d7-4466-b12d-f0ca68a9d0cf,2025-04-07 13:04:21.525166
7,Result for user 0986090b based on option 3,3,0986090b-d361-46d4-b174-e7f7dee2c1f6,2025-04-04 13:04:21.525203
8,Result for user 992a439e based on option 1,1,992a439e-375c-471f-a02c-f1bba3b2a7e9,2025-04-06 13:04:21.525225
9,Result for user 5c01113a based on option 2,2,5c01113a-83fa-45ec-a16c-4b526c783a4f,2025-03-20 13:04:21.525247
10,Result for user c345e635 based on option 6,6,c345e635-b61a-4a5d-bcff-af6c161c0c31,2025-04-10 13:04:21.525269
11,Result for user adde4466 based on option 7,7,adde4466-69fe-49e0-a3b7-71bc8dbc950f,2025-03-20 13:04:21.525293
12,Result for user a55ed360 based on option 1,1,a55ed360-789f-4f6c-ba15-b6a0650f2252,2025-03-19 13:04:21.525331
13,Result for user c5a3950a based on option 8,8,c5a3950a-6e42-49ca-9567-8d5f4a52ad71,2025-03-26 13:04:21.525372
14,Result for user 34845851 based on option 1,1,34845851-ccf6-4f30-b385-0c491658be96,2025-03-25 13:04:21.525410
15,Result for user 7325de34 based on option 3,3,7325de34-f023-4d9f-95b4-f7e30ab1cd8c,2025-03-28 13:04:21.525448
16,Result for user 6706497e based on option 4,4,6706497e-ea02-48e3-83dc-8a60b8dca147,2025-04-09 13:04:21.525485
17,Result for user 715775cd based on option 6,6,715775cd-1f5a-42e8-973a-61080e2a0f69,2025-04-11 13:04:21.525521
18,Result for user 059f1529 based on option 1,1,059f1529-669b-4f38-adf4-8675a3bfb6d8,2025-04-06 13:04:21.525561
19,Result for user 3d6d86d1 based on option 1,1,3d6d86d1-b463-47ee-8851-6cf6ae142e2c,2025-04-02 13:04:21.525603
20,Result for user 4561cc6e based on option 1,1,4561cc6e-d210-4d7a-a1ad-5d5c30dc3cf2,2025-03-27 13:04:21.525647
21,Result for user 7d6f4f87 based on option 9,9,7d6f4f87-c9a0-4972-acd6-8b6bfe6c9d25,2025-04-01 13:04:21.525689
22,Result for user c4811ec4 based on option 8,8,c4811ec4-32f0-43d5-9ece-4d73bbad0201,2025-03-16 13:04:21.525728
23,Result for user 46d15ade based on option 9,9,46d15ade-7dbc-4d2f-b5b4-0ec7eeffa133,2025-03-27 13:04:21.525752
24,Result for user 2cd22cc8 based on option 2,2,2cd22cc8-a74f-4818-86d3-cb5fd1e41e36,2025-04-07 13:04:21.525775
25,Result for user 0ad458c9 based on option 8,8,0ad458c9-f193-4a40-af8d-45110337305f,2025-04-09 13:04:21.525797
26,Result for user 12843cc4 based on option 2,2,12843cc4-7dbf-41c4-bd3c-730e0f7a0e52,2025-03-23 13:04:21.525819
27,Result for user 7096156b based on option 1,1,7096156b-4bf3-4a13-9e85-56475d4ae710,2025-03-27 13:04:21.525841
28,Result for user 18db74dd based on option 3,3,18db74dd-8542-4307-881d-a7daabb99b2a,2025-03-15 13:04:21.525864
29,Result for user d1561e4b based on option 2,2,d1561e4b-1cd1-4244-9a18-b2fb0e3058d7,2025-04-03 13:04:21.525885
30,Result for user 3d33a167 based on option 5,5,3d33a167-ce94-455f-a085-67471bb83e48,2025-04-06 13:04:21.525906
31,Result for user 867c66c5 based on option 9,9,867c66c5-6772-4c31-bec3-2e7769a5eac3,2025-04-02 13:04:21.525935
32,Result for user 251c72e0 based on option 9,9,251c72e0-4532-4534-9452-95754a20e089,2025-04-12 13:04:21.525974
33,Result for user 6981082a based on option 7,7,6981082a-d8a3-49b4-a2da-64003b7c683f,2025-04-05 13:04:21.526016
34,Result for user 1d6168aa based on option 3,3,1d6168aa-a8d6-47d3-94cb-3c7ca3b9282e,2025-03-23 13:04:21.526054
35,Result for user 01b7b7f3 based on option 9,9,01b7b7f3-8a20-4563-a680-f802135c1e78,2025-04-04 13:04:21.526092
36,Result for user 8323b963 based on option 2,2,8323b963-4c5b-4e2c-8a73-36404a98b47b,2025-03-18 13:04:21.526147
37,Result for user f0b83ce8 based on option 7,7,f0b83ce8-2a6d-4006-8548-cbf28d850713,2025-03-31 13:04:21.526184
38,Result for user 7fc22d12 based on option 4,4,7fc22d12-3252-47b3-bd2f-f9d52fa1ba41,2025-03-25 13:04:21.526222
39,Result for user b43fdd08 based on option 9,9,b43fdd08-9aa7-49e9-91cd-b0adae089049,2025-03-22 13:04:21.526261
40,Result for user 21b0029f based on option 5,5,21b0029f-5e25-4a26-94a1-17a01a74264f,2025-04-05 13:04:21.526298
41,Result for user a5b9e994 based on option 9,9,a5b9e994-85c5-414d-acd7-b7b65f4d3f5b,2025-04-07 13:04:21.526338
42,Result for user 0cbe5f77 based on option 4,4,0cbe5f77-9254-487f-ad26-0d0169d44a77,2025-03-31 13:04:21.526386
43,Result for user 7515b58a based on option 3,3,7515b58a-22e5-4401-aae8-9aff04c613d1,2025-03-19 13:04:21.526426
44,Result for user 9f60ea04 based on option 7,7,9f60ea04-c6da-4d88-90da-c78aff196931,2025-04-01 13:04:21.526467
45,Result for user 191279ad based on option 5,5,191279ad-ed42-4233-84d5-7313b24d0b46,2025-04-08 13:04:21.526509
46,Result for user bfaef5e8 based on option 3,3,bfaef5e8-2dc9-4384-bb74-4590250324fa,2025-04-10 13:04:21.526551
47,Result for user 6e53b6bd based on option 5,5,6e53b6bd-9a89-46da-adf3-7a235999fdd6,2025-04-11 13:04:21.526587
48,Result for user 3e609bfe based on option 6,6,3e609bfe-10d6-4883-8c6e-f34fd25780f6,2025-03-30 13:04:21.526629
49,Result for user 149400ee based on option 9,9,149400ee-ddc3-4f37-ae04-3931adc8433a,2025-03-18 13:04:21.526654
50,Result for user 06954e91 based on option 1,1,06954e91-7762-4e1a-b586-e7db6be5c7ca,2025-04-01 13:04:21.526676
